City_ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,punta arenas,75,CL,1529902800,93,-53.16,-70.91,35.6,6.93
1,bredasdorp,92,ZA,1529899200,76,-34.53,20.04,51.8,5.82
2,beyneu,12,KZ,1529905025,14,45.32,55.19,94.97,4.61
3,qasigiannguit,88,GL,1529902200,93,68.82,-51.19,35.6,5.82
4,jamestown,92,AU,1529905026,73,-33.21,138.6,49.25,4.5
5,chokurdakh,76,RU,1529905026,82,70.62,147.9,43.76,21.05
6,naze,80,NG,1529905026,97,5.43,7.07,71.93,3.27
7,kuito,0,AO,1529905026,68,-12.38,16.94,40.7,2.93
8,lompoc,90,US,1529902680,93,34.64,-120.46,62.6,1.92
9,buritizeiro,0,BR,1529905027,83,-17.37,-44.96,61.13,8.08
10,ponta do sol,56,BR,1529905027,69,-20.63,-46.0,62.3,2.93
11,rikitea,0,PF,1529904959,100,-23.12,-134.97,75.71,12.44
12,serov,0,RU,1529905027,53,59.61,60.57,76.97,5.61
13,kerman,0,IR,1529902800,5,30.29,57.06,87.8,4.7
14,kamenka,0,RU,1529905028,44,53.19,44.05,82.46,4.94
15,new norfolk,75,AU,1529902800,62,-42.78,147.06,57.2,10.29
16,albany,90,US,1529903700,88,42.65,-73.75,64.4,6.93
17,fairbanks,68,US,1529902680,30,64.84,-147.72,68.0,3.36
18,ushuaia,92,AR,1529905029,100,-54.81,-68.31,26.48,2.59
19,tuatapere,92,NZ,1529905029,100,-46.13,167.69,41.51,20.15
20,jiuquan,56,CN,1529905029,79,39.73,98.49,62.57,7.96
21,castro,92,CL,1529905030,100,-42.48,-73.76,44.66,4.05
22,vanimo,8,PG,1529905030,100,-2.67,141.3,82.28,9.64
23,banff,0,CA,1529905030,77,51.18,-115.57,48.98,1.7
24,richards bay,0,ZA,1529905030,96,-28.77,32.06,55.64,4.16
25,qaanaaq,56,GL,1529905031,100,77.48,-69.36,30.53,2.93
26,kapaa,75,US,1529902560,78,22.08,-159.32,78.8,17.22
27,mataura,92,NZ,1529905031,100,-46.19,168.86,38.09,16.8
28,saint-pierre,75,FR,1529902800,87,48.95,4.24,55.4,5.82
29,broken hill,0,AU,1529905032,71,-31.97,141.45,51.68,10.76
30,kozulka,75,UA,1529902800,87,50.04,23.8,51.8,4.47
31,hobart,40,AU,1529901000,62,-42.88,147.33,57.2,9.17
32,lebu,56,ET,1529905033,55,8.96,38.73,65.09,1.36
33,rey bouba,0,CM,1529905033,93,8.67,14.18,71.93,3.15
34,sao gabriel da cachoeira,56,BR,1529905033,97,-0.13,-67.09,70.85,2.15
35,atuona,92,PF,1529905034,100,-9.8,-139.03,80.48,18.7
36,mar del plata,0,AR,1529904827,82,-46.43,-67.52,37.28,14.12
37,gustavo diaz ordaz,32,MX,1529905034,89,24.01,-104.69,53.39,0.92
38,hilo,75,US,1529902380,94,19.71,-155.08,73.4,17.47
39,singleton,20,AU,1529902800,55,-32.57,151.17,60.8,11.41
40,caravelas,0,BR,1529905035,100,-17.73,-39.27,76.34,9.64
41,cidreira,92,BR,1529905035,100,-30.17,-50.22,55.73,11.65
42,thinadhoo,76,MV,1529905035,100,0.53,72.93,82.91,4.05
43,isangel,0,VU,1529905035,100,-19.55,169.27,72.47,15.01
44,bontang,88,ID,1529905036,99,0.12,117.47,82.19,1.14
45,cape town,40,ZA,1529899200,87,-33.93,18.42,51.8,2.24
46,upernavik,76,GL,1529905036,100,72.79,-56.15,28.46,9.98
47,hofn,0,IS,1529905036,92,64.25,-15.21,48.89,33.91
48,otradnoye,90,RU,1529902800,87,59.77,30.8,53.6,8.95
49,sao filipe,0,CV,1529905037,100,14.9,-24.5,72.2,10.76
50,san patricio,100,PY,1529905037,99,-26.98,-56.83,53.21,3.71
51,vila velha,75,BR,1529902800,88,-3.71,-38.6,77.0,9.17
52,vaini,92,IN,1529905038,98,15.34,74.49,70.4,8.97
53,nikolskoye,90,RU,1529902800,87,59.7,30.79,53.6,8.95
54,dikson,0,RU,1529905038,93,73.51,80.55,35.57,5.95
55,grindavik,75,IS,1529902800,81,63.84,-22.43,44.6,19.46
56,iqaluit,90,CA,1529902800,80,63.75,-68.52,35.6,8.05
57,sisimiut,88,GL,1529905039,100,66.94,-53.67,30.26,1.92
58,cherskiy,0,RU,1529905039,48,68.75,161.3,53.03,6.06
59,srednekolymsk,8,RU,1529905040,39,67.46,153.71,69.41,3.15
60,xuddur,44,SO,1529905040,66,4.12,43.89,75.8,15.68
61,hermanus,88,ZA,1529905040,93,-34.42,19.24,46.46,2.71
62,volot,0,RU,1529905040,80,57.93,30.71,58.34,6.62
63,hithadhoo,0,MV,1529905041,100,-0.6,73.08,81.56,3.04
64,eyl,32,SO,1529905041,80,7.98,49.82,79.94,22.28
65,antofagasta,90,CL,1529902800,76,-23.65,-70.4,57.2,8.05
66,arraial do cabo,0,BR,1529905041,95,-22.97,-42.02,70.49,12.77
67,urbana,1,US,1529902500,88,40.11,-88.21,69.8,10.29
68,geraldton,5,CA,1529902800,81,49.72,-86.95,46.4,4.05
69,cairns,40,AU,1529902800,61,-16.92,145.77,77.0,14.99
70,collierville,1,US,1529904000,78,35.04,-89.66,82.4,11.41
71,mount isa,76,AU,1529902800,47,-20.73,139.49,77.0,8.05
72,pevek,0,RU,1529905043,84,69.7,170.27,38.45,3.38
73,myanaung,92,MM,1529905043,95,18.28,95.32,80.39,11.32
74,kloulklubed,90,PW,1529902380,79,7.04,134.26,86.0,4.7
75,narsaq,68,GL,1529902200,86,60.91,-46.05,37.4,8.05
76,kodiak,1,US,1529902380,88,39.95,-94.76,71.6,5.82
77,broome,0,GB,1529902560,82,52.47,1.45,55.4,5.82
78,kibala,20,TD,1529902800,94,9.11,18.35,71.6,5.17
79,paamiut,88,GL,1529905044,99,61.99,-49.67,37.28,15.01
80,souillac,0,FR,1529902800,72,45.6,-0.6,59.0,12.77
81,katherine,40,AU,1529902800,37,-14.47,132.26,86.0,12.75
82,pringsewu,92,ID,1529905045,77,-5.36,104.98,80.57,1.25
83,beira,90,ES,1529902800,93,43.2,-8.36,60.8,1.12
84,paraul,0,RU,1529902800,48,42.74,47.35,84.2,8.95
85,qaqortoq,88,GL,1529902200,86,60.72,-46.03,37.4,8.05
86,mareeba,40,AU,1529902800,61,-16.99,145.42,77.0,14.99
87,summerville,75,US,1529903700,94,33.02,-80.17,71.6,6.93
88,busselton,48,AU,1529904945,100,-33.64,115.35,64.19,18.7
89,bluff,88,AU,1529905047,41,-23.58,149.07,69.23,10.42
90,puerto ayora,36,EC,1529905047,100,-0.74,-90.35,70.58,11.21
91,iranduba,36,BR,1529902800,88,-3.28,-60.19,77.0,3.36
92,bangolo,92,CI,1529905048,100,7.01,-7.49,68.96,2.82
93,yellowknife,75,CA,1529902800,67,62.45,-114.38,60.8,13.87
94,turayf,0,SA,1529902800,41,31.68,38.65,77.0,4.7
95,ribeira grande,92,PT,1529905048,100,38.52,-28.7,68.24,10.2
96,avarua,75,CK,1529899200,94,-21.21,-159.78,77.0,5.82
97,saskylakh,48,RU,1529905049,88,71.97,114.09,51.68,14.45
98,nioro,0,GM,1529905049,70,13.79,-15.05,75.35,9.31
99,sumbe,44,AO,1529905049,100,-11.2,13.84,66.44,3.49
100,taoudenni,0,ML,1529905050,12,22.68,-3.98,77.69,14.23
101,vila franca do campo,20,PT,1529902800,88,37.72,-25.43,62.6,3.36
102,hammerfest,75,NO,1529902200,66,70.66,23.68,48.2,2.24
103,kruisfontein,36,ZA,1529905050,100,-34.0,24.73,54.11,9.98
104,las palmas,32,PE,1529905051,92,-6.53,-76.35,71.48,1.81
105,victoria,75,BN,1529902800,79,5.28,115.24,89.6,3.36
106,fare,12,PF,1529905052,97,-16.7,-151.02,81.11,16.69
107,tasiilaq,92,GL,1529902200,93,65.61,-37.64,35.6,5.82
108,port elizabeth,1,US,1529902560,100,39.31,-74.98,75.2,6.93
109,hamilton,40,BM,1529902500,88,32.3,-64.78,78.8,16.11
110,beloha,0,MG,1529905053,79,-25.17,45.06,67.88,6.4
111,airai,8,TL,1529905053,44,-8.93,125.41,82.46,2.15
112,chuy,0,UY,1529905053,97,-33.69,-53.46,36.47,2.26
113,dasoguz,0,TM,1529902800,18,41.84,59.97,93.2,9.17
114,butaritari,56,KI,1529905054,100,3.07,172.79,82.37,4.27
115,zyryanka,0,RU,1529905054,28,65.73,150.89,70.76,2.93
116,port alfred,36,ZA,1529905055,100,-33.59,26.89,58.61,8.97
117,khatanga,20,RU,1529904966,76,71.98,102.47,61.22,14.23
118,gobabis,0,NA,1529905055,60,-22.45,18.97,36.65,6.96
119,zhigansk,56,RU,1529905055,43,66.77,123.37,73.64,3.94
120,constitucion,32,MX,1529905056,89,23.99,-104.67,53.39,0.92
121,severo-kurilsk,12,RU,1529905056,93,50.68,156.12,48.44,4.38
122,anito,8,PH,1529905056,100,12.45,125.29,84.35,5.73
123,igarka,20,RU,1529905056,58,67.47,86.57,72.83,4.61
124,camacha,20,PT,1529902800,88,33.08,-16.33,64.4,6.93
125,santa rosa,0,AR,1529905058,56,-36.62,-64.29,34.94,10.42
126,tuktoyaktuk,75,CA,1529902800,96,69.44,-133.03,41.0,9.17
127,plettenberg bay,44,ZA,1529905059,100,-34.05,23.37,56.99,8.97
